"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.53-1-BMU-TBPD.A","Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BTN-TBPD.A","Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BOL-TBPD.A","Bolivia","62.66446301369863","61.31666301369863","61.82528219178082","51.5571174863388","45.95970136986301","47.872942465753425","49.25431232876712","57.59436612021858","65.20117808219177","69.0016602739726","74.06947397260274","77.63486885245902","77.46590410958905","77.63302739726028","78.12891780821917"
"INTL.53-1-BIH-TBPD.A","Bosnia and Herzegovina","0","-0.073","-0.059","-0.097","-0.094","-0.015","0.07","0.131","0.258","0.219","0.248","0.248","0.248","0.248","0.248"
"INTL.53-1-BWA-TBPD.A","Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BRA-TBPD.A","Brazil","2037.5220136986302","2169.463605479452","2283.504808219178","2431.4689098360654","2561.7134465753425","2723.742008219178","2699.1337561643836","2669.122319672131","2713.472298630137","2970.678032876712","3186.4863643835615","3242.9578360655737","3366.452109589041","3427.783616438356","3673.657589041096"
"INTL.53-1-VGB-TBPD.A","British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BRN-TBPD.A","Brunei","209.95945205479453","221.2447808219178","169.9666301369863","157.76433879781422","148.8572191780822","153.32793150684932","169.3770410958904","158.73103825136613","135.48984931506848","126.80741095890411","127.00387671232876","121.03438797814208","113.31346575342465","111.62305479452054","121.56004109589041"
"INTL.53-1-BGR-TBPD.A","Bulgaria","3.357","3.378","3.125","3.517","3.341","3.359","3.367","3.799","4.095","3.237191780821918","5.076","5.339","5.339","5.339","5.339"
"INTL.53-1-BFA-TBPD.A","Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MMR-TBPD.A","Myanmar","20.751","23.791","21.954643835616437","22.059934426229507","18.775931506849314","21.136767123287672","20.733","20.681","20.694","20.315342465753425","15.634","15.634","12.634","11.634","11.299753424657535"
"INTL.53-1-BDI-TBPD.A","Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-CPV-TBPD.A","Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-KHM-TBPD.A","Cambodia","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-CMR-TBPD.A","Cameroon","82.70906849315068","86.80773972602739","83.15639726027398","81.78013661202186","77.42010958904109","65.54","62.22727397260274","63.452","63.07016438356165","75.441","98.469","92.469","76.18680821917808","76.18132876712329","69.469"
"INTL.53-1-CAN-TBPD.A","Canada","3096.28461369863","3292.0780767123288","3448.5232328767124","3348.2466967213113","3318.829117808219","3441.730273972603","3596.913671232877","3855.923535519126","4073.0712876712328","4394.265369863014","4511.270561643835","4596.724819672131","4964.133520547945","5382.336260273973","5502.593794520548"
"INTL.53-1-CYM-TBPD.A","Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-CAF-TBPD.A","Central African Rep.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-TCD-TBPD.A","Chad","176.65753424657535","157.91780821917808","144.2027397260274","127.1639344262295","119.47123287671234","122.52054794520548","114.96438356164384","104.48360655737704","100","121","123","114","128","132","128"
"INTL.53-1-CHL-TBPD.A","Chile","14.928575342465754","12.891838356164383","10.87226301369863","12.791079234972678","13.501876712328768","18.57604109589041","19.23376712328767","18.436371584699454","17.15935616438356","15.616465753424658","14.21527397260274","12.858497267759564","13.457835616438356","16.214","18.54276712328767"
"INTL.53-1-CHN-TBPD.A","China","3871.015917808219","3980.2150684931507","4079.0112328767123","4166.931967213115","4218.448630136986","4575.155273972603","4660.013616438356","4773.203475409836","4911.730712328767","5045.262794520548","5180.376150684931","4900.07087431694","4782.398219178082","4774.992739726027","4893.068493150685"
"INTL.53-1-COL-TBPD.A","Colombia","540.6865643835616","548.3515534246575","546.108495890411","603.6740109289617","690.2765561643836","805.7534876712328","938.4120684931507","968.4676502732241","1028.2005068493152","1013.9070465753425","1033.9540410958905","909.0368196721312","884.5163424657534","893.5985342465754","915.8040136986301"
"INTL.53-1-COM-TBPD.A","Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-COG-TBPD.A","Congo","235.8758109589041","247.29631506849316","213.6507397260274","239.8774918032787","274.48627397260276","345.96821643835614","295.8848520547945","270.414349726776","248.03452602739725","241.00748493150684","245.2174","204.73532513661203","252.68968493150686","347.1417397260274","335.5280410958904"
"INTL.53-1-COD-TBPD.A","Dem. Rep. Congo","19.747945205479454","20","22.156164383561645","19.957650273224044","22","21","20.161643835616438","20","20","20","20","20","19.161643835616438","17","15"
"INTL.53-1-COK-TBPD.A","Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-CRI-TBPD.A","Costa Rica","1.877","1.856","2.637","2.308","1.226","-0.109","-0.04","1.259","1.324","1.331","1.479","1.571","1.571","1.571","1.571"
